Size: 100

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.65, 0.55, 0.58, 0.46, 0.54, 0.56, 0.5, 0.38, 0.31, 0.37, 0.43]

Decision Tree (accuracy): [0.7699999999999999, 0.69, 0.75, 0.77, 0.63, 0.62, 0.59, 0.58, 0.71, 0.65, 0.62]

Random Forest (accuracy): [0.8049999999999999, 0.74, 0.76, 0.75, 0.64, 0.64, 0.76, 0.67, 0.52, 0.56, 0.69]

AdaBoost (RF) (accuracy): [0.7899999999999999, 0.76, 0.76, 0.77, 0.67, 0.72, 0.8, 0.64, 0.6, 0.62, 0.63]

LightGBM (accuracy): [0.7999999999999999, 0.82, 0.82, 0.78, 0.71, 0.71, 0.77, 0.79, 0.6, 0.56, 0.75]

Nearest Neighbors (auc): [0.7176294191919191, 0.572061191626409, 0.5721153846153846, 0.4551282051282051, 0.5041666666666667, 0.5570228091236495, 0.5080128205128205, 0.37975190076030413, 0.3185328185328185, 0.3731433159373745, 0.42929292929292934]

Decision Tree (auc): [0.7633207070707071, 0.6920289855072465, 0.7467948717948718, 0.7700320512820513, 0.6458333333333333, 0.6210484193677472, 0.5889423076923077, 0.5782312925170069, 0.6973401973401974, 0.6469289441991168, 0.6242424242424242]

Random Forest (auc): [0.8899147727272728, 0.7431561996779388, 0.7588141025641026, 0.75, 0.6416666666666667, 0.6406562625050021, 0.7604166666666666, 0.6696678671468588, 0.5353925353925354, 0.5608189482135689, 0.6959595959595959]

AdaBoost (RF) (auc): [0.8842960858585858, 0.7584541062801933, 0.7572115384615384, 0.7700320512820513, 0.6666666666666667, 0.7210884353741496, 0.8012820512820513, 0.6394557823129252, 0.5877305877305877, 0.6198313930148535, 0.6313131313131313]

LightGBM (auc): [0.90552398989899, 0.8156199677938808, 0.8181089743589745, 0.7820512820512822, 0.7041666666666667, 0.7112845138055222, 0.7716346153846154, 0.7893157262905162, 0.6323466323466324, 0.5596146126053794, 0.7484848484848485]

Nearest Neighbors (precision): [0.6981379731379731, 0.5064935064935064, 0.5714285714285714, 0.4838709677419355, 0.6029411764705882, 0.5538461538461539, 0.4857142857142857, 0.3673469387755102, 0.42857142857142855, 0.38636363636363635, 0.38]

Decision Tree (precision): [0.8006460206460208, 0.6470588235294118, 0.7288135593220338, 0.7843137254901961, 0.7555555555555555, 0.6444444444444445, 0.574468085106383, 0.5853658536585366, 0.7833333333333333, 0.6607142857142857, 0.5660377358490566]

Random Forest (precision): [0.8104262404262406, 0.6923076923076923, 0.7592592592592593, 0.7647058823529411, 0.7307692307692307, 0.6595744680851063, 0.74, 0.6666666666666666, 0.6666666666666666, 0.5918367346938775, 0.6296296296296297]

AdaBoost (RF) (precision): [0.8022997835497836, 0.7391304347826086, 0.7413793103448276, 0.7843137254901961, 0.7454545454545455, 0.7555555555555555, 0.7692307692307693, 0.6382978723404256, 0.7017543859649122, 0.6470588235294118, 0.58]

LightGBM (precision): [0.8238783438783439, 0.8333333333333334, 0.8035714285714286, 0.8260869565217391, 0.7719298245614035, 0.75, 0.7358490566037735, 0.8043478260869565, 0.7804878048780488, 0.5882352941176471, 0.717391304347826]

Nearest Neighbors (recall): [0.7090909090909092, 0.8478260869565217, 0.7692307692307693, 0.5769230769230769, 0.6833333333333333, 0.7058823529411765, 0.7083333333333334, 0.3673469387755102, 0.2857142857142857, 0.32075471698113206, 0.4222222222222222]

Decision Tree (recall): [0.7946969696969697, 0.717391304347826, 0.8269230769230769, 0.7692307692307693, 0.5666666666666667, 0.5686274509803921, 0.5625, 0.4897959183673469, 0.746031746031746, 0.6981132075471698, 0.6666666666666666]

Random Forest (recall): [0.8765151515151514, 0.782608695652174, 0.7884615384615384, 0.75, 0.6333333333333333, 0.6078431372549019, 0.7708333333333334, 0.6530612244897959, 0.47619047619047616, 0.5471698113207547, 0.7555555555555555]

AdaBoost (RF) (recall): [0.8492424242424242, 0.7391304347826086, 0.8269230769230769, 0.7692307692307693, 0.6833333333333333, 0.6666666666666666, 0.8333333333333334, 0.6122448979591837, 0.6349206349206349, 0.6226415094339622, 0.6444444444444445]

LightGBM (recall): [0.8318181818181818, 0.7608695652173914, 0.8653846153846154, 0.7307692307692307, 0.7333333333333333, 0.6470588235294118, 0.8125, 0.7551020408163265, 0.5079365079365079, 0.5660377358490566, 0.7333333333333333]

