Train size: 40000

Test size: 10000

['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']

XGBoost (accuracy): [0.9034, 0.9082, 0.9439, 0.902, 0.9531, 0.963, 0.9259, 0.9375, 0.9688, 0.9519, 0.9362]

AdaBoost (CB) (accuracy): [0.9159, 0.9187, 0.9453, 0.9103, 0.9571, 0.9636, 0.9276, 0.9496, 0.9551, 0.9575, 0.9425]

AdaBoost (RF) (accuracy): [0.882, 0.8941, 0.9341, 0.878, 0.9447, 0.9593, 0.911, 0.9281, 0.9443, 0.9446, 0.9225]

LightGBM (accuracy): [0.9079, 0.906, 0.9355, 0.8969, 0.9499, 0.9592, 0.9185, 0.9391, 0.939, 0.9503, 0.9324]

AdaBoost (LGBM) (accuracy): [0.9227, 0.9274, 0.9515, 0.918, 0.9612, 0.9703, 0.936, 0.9531, 0.9504, 0.9563, 0.9436]

XGBoost (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

AdaBoost (CB) (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

AdaBoost (RF) (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

LightGBM (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

AdaBoost (LGBM) (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

XGBoost (precision): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]

AdaBoost (CB) (precision): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]

AdaBoost (RF) (precision): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]

LightGBM (precision): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]

AdaBoost (LGBM) (precision): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]

XGBoost (recall): [0.9034, 0.9082, 0.9439, 0.902, 0.9531, 0.963, 0.9259, 0.9375, 0.9688, 0.9519, 0.9362]

AdaBoost (CB) (recall): [0.9159, 0.9187, 0.9453, 0.9103, 0.9571, 0.9636, 0.9276, 0.9496, 0.9551, 0.9575, 0.9425]

AdaBoost (RF) (recall): [0.882, 0.8941, 0.9341, 0.878, 0.9447, 0.9593, 0.911, 0.9281, 0.9443, 0.9446, 0.9225]

LightGBM (recall): [0.9079, 0.906, 0.9355, 0.8969, 0.9499, 0.9592, 0.9185, 0.9391, 0.939, 0.9503, 0.9324]

AdaBoost (LGBM) (recall): [0.9227, 0.9274, 0.9515, 0.918, 0.9612, 0.9703, 0.936, 0.9531, 0.9504, 0.9563, 0.9436]

