Train size: 40000

Test size: 10000

['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']

XGBoost (accuracy): [0.942, 0.9353, 0.9393, 0.9718, 0.9265, 0.9532, 0.9508, 0.9289, 0.848, 0.9665, 0.9733]

AdaBoost (CB) (accuracy): [0.9449, 0.9293, 0.9385, 0.9714, 0.9223, 0.9531, 0.9485, 0.8762, 0.8501, 0.9595, 0.972]

AdaBoost (RF) (accuracy): [0.9567, 0.951, 0.9555, 0.9805, 0.9319, 0.9593, 0.9556, 0.8845, 0.8677, 0.9647, 0.9827]

LightGBM (accuracy): [0.9385, 0.9319, 0.9315, 0.9666, 0.9212, 0.9504, 0.9477, 0.8654, 0.8522, 0.9634, 0.9736]

AdaBoost (LGBM) (accuracy): [0.9575, 0.9492, 0.961, 0.9767, 0.9477, 0.9646, 0.9636, 0.953, 0.902, 0.9717, 0.9832]

XGBoost (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

AdaBoost (CB) (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

AdaBoost (RF) (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

LightGBM (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

AdaBoost (LGBM) (auc): [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

XGBoost (precision): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

AdaBoost (CB) (precision): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

AdaBoost (RF) (precision): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

LightGBM (precision): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

AdaBoost (LGBM) (precision): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

XGBoost (recall): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

AdaBoost (CB) (recall): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

AdaBoost (RF) (recall): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

LightGBM (recall): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

AdaBoost (LGBM) (recall): [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]

