Size: 20000

['Training data', '11', '12']

AdaBoost (LGBM) (accuracy): [0.97273, 0.9744, 0.9633]

Optimized LightGBM (accuracy): [0.9723750000000001, 0.97565, 0.9653]

AdaBoost (LGBM) (auc): [0.9961140106666819, 0.974389228084396, 0.9633016672734369]

Optimized LightGBM (auc): [0.9963508103565051, 0.9756376242636103, 0.9653072492930471]

AdaBoost (LGBM) (precision): [0.9785132926524488, 0.9717654051912027, 0.9640444974175606]

Optimized LightGBM (precision): [0.9795912150389959, 0.9725824012669504, 0.9666799283867118]

AdaBoost (LGBM) (recall): [0.9704325624210158, 0.9773814268632921, 0.9630879142687041]

Optimized LightGBM (recall): [0.9686476851233226, 0.9790753288162615, 0.9643778527485612]

